num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,2214_py_sketch_generator,22142ade,phi4_7854_psg_batch,success,100.12,14387,9516,4871,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755537381
2,c118_py_sketch_generator,c1182b40,phi4_7854_psg_batch,success,34.0,5279,3646,1633,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755537521
3,61b8_py_sketch_generator,61b8c7b1,phi4_7854_psg_batch,success,24.7,2824,1598,1226,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755537595
4,c942_py_sketch_generator,c942cbbf,phi4_7854_psg_batch,failure,97.01,14502,9790,4712,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755537659
5,99c0_py_sketch_generator,99c07c98,phi4_7854_psg_batch,success,53.97,8307,5694,2613,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755537763
6,96d6_py_sketch_generator,96d620bf,phi4_7854_psg_batch,success,59.84,8606,5694,2912,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755537856
7,aab1_py_sketch_generator,aab1691d,phi4_7854_psg_batch,success,55.88,8404,5694,2710,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755537957
8,b096_py_sketch_generator,b096dd75,phi4_7854_psg_batch,success,34.89,5334,3646,1688,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755538055
9,4a1f_py_sketch_generator,4a1faf24,phi4_7854_psg_batch,success,30.64,5115,3646,1469,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755538130
10,9516_py_sketch_generator,9516c3a7,phi4_7854_psg_batch,failure,109.43,15162,9790,5372,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755538200
11,2971_py_sketch_generator,29716bbd,phi4_7854_psg_batch,success,81.45,11710,7742,3968,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755538317
12,d0ae_py_sketch_generator,d0ae3e3f,phi4_7854_psg_batch,success,55.06,8362,5694,2668,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755538447
13,cf1a_py_sketch_generator,cf1ad13b,phi4_7854_psg_batch,success,80.95,11420,7468,3952,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755538542
