num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,10f6_py_sketch_generator,10f69a5b,qwen2.5-coder:14b_5d09_psg_batch,success,10.37,2221,1618,603,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755632812
2,bf00_py_sketch_generator,bf008d3c,qwen2.5-coder:14b_5d09_psg_batch,failure,61.84,13448,9810,3638,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755632863
3,d099_py_sketch_generator,d099b45b,qwen2.5-coder:14b_5d09_psg_batch,success,32.77,7625,5714,1911,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755632933
4,2a01_py_sketch_generator,2a015e14,qwen2.5-coder:14b_5d09_psg_batch,success,27.07,5274,3666,1608,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633003
5,5d4a_py_sketch_generator,5d4a9c17,qwen2.5-coder:14b_5d09_psg_batch,success,36.75,7878,5714,2164,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633065
6,6403_py_sketch_generator,6403563e,qwen2.5-coder:14b_5d09_psg_batch,success,23.39,5041,3666,1375,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633119
7,7cee_py_sketch_generator,7ceea992,qwen2.5-coder:14b_5d09_psg_batch,success,33.78,7687,5714,1973,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633181
8,dbcf_py_sketch_generator,dbcfd172,qwen2.5-coder:14b_5d09_psg_batch,failure,75.38,14304,9810,4494,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633252
9,bdc7_py_sketch_generator,bdc7ad6b,qwen2.5-coder:14b_5d09_psg_batch,success,38.19,7967,5714,2253,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633335
10,2ddc_py_sketch_generator,2ddc1584,qwen2.5-coder:14b_5d09_psg_batch,failure,62.73,13502,9810,3692,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633411
11,9644_py_sketch_generator,9644cb3e,qwen2.5-coder:14b_5d09_psg_batch,failure,59.65,13310,9810,3500,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633490
12,9dec_py_sketch_generator,9dec1c23,qwen2.5-coder:14b_5d09_psg_batch,success,25.74,5191,3666,1525,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633558
13,8b46_py_sketch_generator,8b464c13,qwen2.5-coder:14b_5d09_psg_batch,failure,66.6,13538,9594,3944,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633622
14,ad2e_py_sketch_generator,ad2e792d,qwen2.5-coder:14b_5d09_psg_batch,success,10.67,2245,1618,627,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633703
15,a50d_py_sketch_generator,a50d4d56,qwen2.5-coder:14b_5d09_psg_batch,failure,74.24,14233,9810,4423,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633752
16,5cb8_py_sketch_generator,5cb88416,qwen2.5-coder:14b_5d09_psg_batch,success,11.96,2326,1618,708,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633833
17,07e1_py_sketch_generator,07e1fa28,qwen2.5-coder:14b_5d09_psg_batch,success,50.74,10752,7762,2990,0.0,N/A,4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633860
18,bd5a_py_sketch_generator,bd5a2bb3,qwen2.5-coder:14b_5d09_psg_batch,failure,71.68,14083,9810,4273,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755633933
19,2e97_py_sketch_generator,2e970f83,qwen2.5-coder:14b_5d09_psg_batch,failure,63.22,13528,9810,3718,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634024
20,1821_py_sketch_generator,18217e5e,qwen2.5-coder:14b_5d09_psg_batch,failure,64.98,13647,9810,3837,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634104
21,b137_py_sketch_generator,b1376243,qwen2.5-coder:14b_5d09_psg_batch,success,12.97,2391,1618,773,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634177
22,e83f_py_sketch_generator,e83fac0f,qwen2.5-coder:14b_5d09_psg_batch,success,23.77,5066,3666,1400,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634228
23,2743_py_sketch_generator,2743af63,qwen2.5-coder:14b_5d09_psg_batch,failure,70.4,13990,9810,4180,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634290
24,21a4_py_sketch_generator,21a43534,qwen2.5-coder:14b_5d09_psg_batch,failure,63.3,13541,9810,3731,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634367
25,dc22_py_sketch_generator,dc22bf99,qwen2.5-coder:14b_5d09_psg_batch,failure,70.25,13977,9810,4167,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634438
26,1d2c_py_sketch_generator,1d2c0388,qwen2.5-coder:14b_5d09_psg_batch,success,27.67,5311,3666,1645,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634517
27,e249_py_sketch_generator,e2498250,qwen2.5-coder:14b_5d09_psg_batch,failure,64.55,13618,9810,3808,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634554
28,7c28_py_sketch_generator,7c28e141,qwen2.5-coder:14b_5d09_psg_batch,failure,62.16,13460,9810,3650,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634627
29,f676_py_sketch_generator,f676f8cd,qwen2.5-coder:14b_5d09_psg_batch,success,27.43,5294,3666,1628,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634697
30,d8b4_py_sketch_generator,d8b4dfaa,qwen2.5-coder:14b_5d09_psg_batch,success,33.72,7685,5714,1971,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755634743
