num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,5e4b_tpu_sketch_generator,5e4b14e6,qwen2.5-coder:14b_5d09_tpusg_batch,success,14.35,2672,1833,839,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630179
2,5505_tpu_sketch_generator,5505bc06,qwen2.5-coder:14b_5d09_tpusg_batch,success,13.73,2643,1833,810,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630251
3,e729_tpu_sketch_generator,e729077b,qwen2.5-coder:14b_5d09_tpusg_batch,success,27.68,5516,3881,1635,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630325
4,fb6d_tpu_sketch_generator,fb6d1e0c,qwen2.5-coder:14b_5d09_tpusg_batch,success,13.35,2619,1833,786,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630419
5,1373_tpu_sketch_generator,1373e76a,qwen2.5-coder:14b_5d09_tpusg_batch,success,14.74,2707,1833,874,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630490
6,58f2_tpu_sketch_generator,58f2b702,qwen2.5-coder:14b_5d09_tpusg_batch,success,13.3,2615,1833,782,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630565
7,f884_tpu_sketch_generator,f8843675,qwen2.5-coder:14b_5d09_tpusg_batch,success,82.72,14964,10025,4939,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630636
8,ef5c_tpu_sketch_generator,ef5c36a5,qwen2.5-coder:14b_5d09_tpusg_batch,success,45.55,8637,5929,2708,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630810
9,b72e_tpu_sketch_generator,b72e8100,qwen2.5-coder:14b_5d09_tpusg_batch,success,27.97,5533,3881,1652,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755630931
10,ef60_tpu_sketch_generator,ef606ba7,qwen2.5-coder:14b_5d09_tpusg_batch,success,15.07,2722,1833,889,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631022
11,f47c_tpu_sketch_generator,f47c7afe,qwen2.5-coder:14b_5d09_tpusg_batch,success,30.07,5666,3881,1785,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631096
12,342e_tpu_sketch_generator,342edfa8,qwen2.5-coder:14b_5d09_tpusg_batch,success,28.2,5547,3881,1666,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631193
13,7814_tpu_sketch_generator,78140b12,qwen2.5-coder:14b_5d09_tpusg_batch,success,29.45,5623,3881,1742,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631285
14,32a6_tpu_sketch_generator,32a68251,qwen2.5-coder:14b_5d09_tpusg_batch,success,13.09,2604,1833,771,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631373
15,37a9_tpu_sketch_generator,37a9eba9,qwen2.5-coder:14b_5d09_tpusg_batch,success,14.63,2700,1833,867,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631441
16,64d7_tpu_sketch_generator,64d7d106,qwen2.5-coder:14b_5d09_tpusg_batch,success,28.7,5553,3881,1672,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631514
17,f3a3_tpu_sketch_generator,f3a3e7b4,qwen2.5-coder:14b_5d09_tpusg_batch,success,30.89,5713,3881,1832,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631609
18,bfec_tpu_sketch_generator,bfec330f,qwen2.5-coder:14b_5d09_tpusg_batch,success,13.29,2614,1833,781,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631704
19,80dc_tpu_sketch_generator,80dc9a6a,qwen2.5-coder:14b_5d09_tpusg_batch,success,14.24,2676,1833,843,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631776
20,3e1d_tpu_sketch_generator,3e1d724a,qwen2.5-coder:14b_5d09_tpusg_batch,success,13.3,2615,1833,782,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631845
21,f973_tpu_sketch_generator,f9734663,qwen2.5-coder:14b_5d09_tpusg_batch,success,31.0,5720,3881,1839,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755631916
22,6617_tpu_sketch_generator,66175eb1,qwen2.5-coder:14b_5d09_tpusg_batch,success,13.11,2604,1833,771,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632012
23,33e5_tpu_sketch_generator,33e5091e,qwen2.5-coder:14b_5d09_tpusg_batch,success,53.74,9165,5929,3236,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632079
24,354d_tpu_sketch_generator,354d52fe,qwen2.5-coder:14b_5d09_tpusg_batch,success,32.13,5790,3881,1909,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632199
25,5dbb_tpu_sketch_generator,5dbb0383,qwen2.5-coder:14b_5d09_tpusg_batch,success,13.34,2619,1833,786,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632297
26,bd25_tpu_sketch_generator,bd25c4d1,qwen2.5-coder:14b_5d09_tpusg_batch,success,29.09,5603,3881,1722,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632370
27,ddeb_tpu_sketch_generator,ddeb0d8c,qwen2.5-coder:14b_5d09_tpusg_batch,success,44.98,8598,5929,2669,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632467
28,5bae_tpu_sketch_generator,5bae661e,qwen2.5-coder:14b_5d09_tpusg_batch,success,12.79,2583,1833,750,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632582
29,bc7a_tpu_sketch_generator,bc7ad8d8,qwen2.5-coder:14b_5d09_tpusg_batch,success,31.62,5765,3881,1884,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632648
30,db15_tpu_sketch_generator,db154ae7,qwen2.5-coder:14b_5d09_tpusg_batch,success,12.65,2576,1833,743,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755632746
