num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,37cb_py_sketch_generator,37cbf370,qwen2.5-coder:14b_c83f_psg_batch,success,29.16,5400,3666,1734,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755649666
2,6df1_py_sketch_generator,6df1c160,qwen2.5-coder:14b_c83f_psg_batch,success,11.02,2269,1618,651,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755649733
3,1da4_py_sketch_generator,1da4229d,qwen2.5-coder:14b_c83f_psg_batch,success,38.93,8023,5714,2309,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755649782
4,57cf_py_sketch_generator,57cf3dd2,qwen2.5-coder:14b_c83f_psg_batch,success,38.27,7984,5714,2270,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755649842
5,718a_py_sketch_generator,718a3615,qwen2.5-coder:14b_c83f_psg_batch,success,24.38,5110,3666,1444,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755649898
6,c5ec_py_sketch_generator,c5ec849c,qwen2.5-coder:14b_c83f_psg_batch,failure,65.96,13721,9810,3911,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755649939
7,3cc4_py_sketch_generator,3cc4ad5a,qwen2.5-coder:14b_c83f_psg_batch,success,52.43,10873,7762,3111,0.0,N/A,4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650025
8,0206_py_sketch_generator,020645f7,qwen2.5-coder:14b_c83f_psg_batch,success,39.86,8084,5714,2370,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650115
9,693b_py_sketch_generator,693b0a84,qwen2.5-coder:14b_c83f_psg_batch,success,50.86,10775,7762,3013,0.0,N/A,4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650195
10,0855_py_sketch_generator,08552506,qwen2.5-coder:14b_c83f_psg_batch,failure,64.38,13629,9810,3819,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650284
11,8f18_py_sketch_generator,8f180d78,qwen2.5-coder:14b_c83f_psg_batch,failure,64.85,13424,9574,3850,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650356
12,29e5_py_sketch_generator,29e53ebd,qwen2.5-coder:14b_c83f_psg_batch,success,26.43,5241,3666,1575,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650436
13,894c_py_sketch_generator,894c25d7,qwen2.5-coder:14b_c83f_psg_batch,failure,63.48,13570,9810,3760,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650500
14,1fd8_py_sketch_generator,1fd89e23,qwen2.5-coder:14b_c83f_psg_batch,failure,60.65,13380,9810,3570,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650572
15,8024_py_sketch_generator,80240ce9,qwen2.5-coder:14b_c83f_psg_batch,success,38.18,7972,5714,2258,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650641
16,f0aa_py_sketch_generator,f0aaeb14,qwen2.5-coder:14b_c83f_psg_batch,success,23.91,5081,3666,1415,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650698
17,120d_py_sketch_generator,120d4427,qwen2.5-coder:14b_c83f_psg_batch,success,56.79,13142,9810,3332,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650760
18,c7f2_py_sketch_generator,c7f29867,qwen2.5-coder:14b_c83f_psg_batch,failure,63.65,13577,9810,3767,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650836
19,ca9f_py_sketch_generator,ca9fc646,qwen2.5-coder:14b_c83f_psg_batch,success,34.89,7769,5714,2055,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650908
20,3ecf_py_sketch_generator,3ecf274a,qwen2.5-coder:14b_c83f_psg_batch,success,25.21,5164,3666,1498,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755650981
21,0c7d_py_sketch_generator,0c7d16f7,qwen2.5-coder:14b_c83f_psg_batch,failure,66.26,13747,9810,3937,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651045
22,25fc_py_sketch_generator,25fcdf2b,qwen2.5-coder:14b_c83f_psg_batch,success,10.64,2245,1618,627,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651120
23,ebe2_py_sketch_generator,ebe2e5eb,qwen2.5-coder:14b_c83f_psg_batch,success,24.01,5086,3666,1420,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651169
24,c14a_py_sketch_generator,c14a2ef1,qwen2.5-coder:14b_c83f_psg_batch,success,10.35,2227,1618,609,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651232
25,60a3_py_sketch_generator,60a3dcf9,qwen2.5-coder:14b_c83f_psg_batch,success,34.14,7721,5714,2007,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651281
26,d0d1_py_sketch_generator,d0d13e5e,qwen2.5-coder:14b_c83f_psg_batch,success,22.78,5010,3666,1344,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651330
27,915e_py_sketch_generator,915e15ce,qwen2.5-coder:14b_c83f_psg_batch,success,24.46,5116,3666,1450,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651368
28,3417_py_sketch_generator,34177d8e,qwen2.5-coder:14b_c83f_psg_batch,success,10.22,2220,1618,602,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651431
29,91fa_py_sketch_generator,91fa8245,qwen2.5-coder:14b_c83f_psg_batch,success,49.45,10663,7762,2901,0.0,N/A,4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651478
30,e0ec_py_sketch_generator,e0ec470b,qwen2.5-coder:14b_c83f_psg_batch,success,27.39,5296,3666,1630,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1755651546
