num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,3e17_tpu_sketch_generator,3e17f5b0,codestral_fc8d_tpusg_batch,failure,143.85,14517,10240,4277,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755687058
2,4171_tpu_sketch_generator,41712e67,codestral_fc8d_tpusg_batch,failure,128.84,14974,10240,4734,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755687233
3,35f0_tpu_sketch_generator,35f02a2c,codestral_fc8d_tpusg_batch,failure,97.26,13701,10240,3461,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755687399
4,030c_tpu_sketch_generator,030ccfb9,codestral_fc8d_tpusg_batch,failure,119.91,14614,10240,4374,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755687526
5,2a70_tpu_sketch_generator,2a700122,codestral_fc8d_tpusg_batch,failure,129.75,15011,10240,4771,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755687685
6,a625_tpu_sketch_generator,a625b929,codestral_fc8d_tpusg_batch,failure,87.33,13290,10240,3050,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755687851
7,9b79_tpu_sketch_generator,9b79de40,codestral_fc8d_tpusg_batch,success,70.91,8722,6144,2578,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755687969
8,5c7c_tpu_sketch_generator,5c7cb804,codestral_fc8d_tpusg_batch,failure,108.92,14169,10240,3929,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688061
9,cb16_tpu_sketch_generator,cb160356,codestral_fc8d_tpusg_batch,failure,107.12,14098,10240,3858,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688208
10,e2a1_tpu_sketch_generator,e2a158af,codestral_fc8d_tpusg_batch,failure,51.47,11858,10240,1618,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688344
11,3570_tpu_sketch_generator,3570b346,codestral_fc8d_tpusg_batch,failure,56.13,12047,10240,1807,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688410
12,62bd_tpu_sketch_generator,62bd3952,codestral_fc8d_tpusg_batch,failure,83.07,13132,10240,2892,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688481
13,118f_tpu_sketch_generator,118f67bd,codestral_fc8d_tpusg_batch,failure,93.73,13561,10240,3321,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688579
14,be1a_tpu_sketch_generator,be1abeba,codestral_fc8d_tpusg_batch,failure,96.49,13672,10240,3432,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688687
15,ca4f_tpu_sketch_generator,ca4f882c,codestral_fc8d_tpusg_batch,failure,114.86,14396,10240,4156,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688805
16,1159_tpu_sketch_generator,11595b38,codestral_fc8d_tpusg_batch,failure,63.01,12324,10240,2084,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755688948
17,09c5_tpu_sketch_generator,09c51868,codestral_fc8d_tpusg_batch,failure,125.91,14855,10240,4615,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755689026
18,0b56_tpu_sketch_generator,0b566322,codestral_fc8d_tpusg_batch,failure,66.36,12451,10240,2211,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755689184
19,04e5_tpu_sketch_generator,04e5de12,codestral_fc8d_tpusg_batch,failure,79.73,12996,10240,2756,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755689265
20,999a_tpu_sketch_generator,999a2c48,codestral_fc8d_tpusg_batch,failure,126.16,14866,10240,4626,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755689360
21,ae70_tpu_sketch_generator,ae70645d,codestral_fc8d_tpusg_batch,failure,61.67,12257,10240,2017,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755689523
22,a163_tpu_sketch_generator,a163574b,codestral_fc8d_tpusg_batch,failure,59.67,12179,10240,1939,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755689599
23,389a_tpu_sketch_generator,389a7fce,codestral_fc8d_tpusg_batch,failure,143.98,15568,10240,5328,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755689673
24,8ff8_tpu_sketch_generator,8ff8fa4e,codestral_fc8d_tpusg_batch,success,122.04,12741,8192,4549,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755689856
25,adcc_tpu_sketch_generator,adcc1de2,codestral_fc8d_tpusg_batch,failure,109.87,14206,10240,3966,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755690060
26,c44a_tpu_sketch_generator,c44a0087,codestral_fc8d_tpusg_batch,failure,103.97,13973,10240,3733,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755690198
27,e3b6_tpu_sketch_generator,e3b63227,codestral_fc8d_tpusg_batch,failure,60.17,12209,10240,1969,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755690324
28,5cd9_tpu_sketch_generator,5cd99309,codestral_fc8d_tpusg_batch,failure,89.94,13407,10240,3167,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755690399
29,9da2_tpu_sketch_generator,9da2e982,codestral_fc8d_tpusg_batch,failure,91.36,13457,10240,3217,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755690503
30,0905_tpu_sketch_generator,0905c994,codestral_fc8d_tpusg_batch,failure,123.58,14755,10240,4515,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755690624
