num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,e2fa_tpu_sketch_generator,e2fa0c7a,codestral_34a5_tpusg_batch,failure,110.76,13175,10240,2935,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755697779
2,4a9e_tpu_sketch_generator,4a9ec6c1,codestral_34a5_tpusg_batch,failure,100.66,13827,10240,3587,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755697904
3,d3b0_tpu_sketch_generator,d3b0c41c,codestral_34a5_tpusg_batch,failure,48.59,11737,10240,1497,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755698034
4,8c83_tpu_sketch_generator,8c83b73e,codestral_34a5_tpusg_batch,failure,99.3,13766,10240,3526,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755698097
5,05c6_tpu_sketch_generator,05c6b27b,codestral_34a5_tpusg_batch,failure,119.65,14585,10240,4345,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755698227
6,b7fe_tpu_sketch_generator,b7fe3732,codestral_34a5_tpusg_batch,failure,123.81,14750,10240,4510,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755698383
7,9e76_tpu_sketch_generator,9e769182,codestral_34a5_tpusg_batch,success,121.42,12702,8192,4510,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755698544
8,78aa_tpu_sketch_generator,78aaf982,codestral_34a5_tpusg_batch,failure,83.79,13139,10240,2899,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755698747
9,af46_tpu_sketch_generator,af461cf2,codestral_34a5_tpusg_batch,failure,58.22,12119,10240,1879,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755698846
10,0806_tpu_sketch_generator,080669ca,codestral_34a5_tpusg_batch,failure,107.1,14083,10240,3843,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755698918
11,3c64_tpu_sketch_generator,3c64e3c0,codestral_34a5_tpusg_batch,failure,86.08,13239,10240,2999,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755699063
12,6178_tpu_sketch_generator,6178a8ba,codestral_34a5_tpusg_batch,failure,111.27,14248,10240,4008,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755699181
13,fe36_tpu_sketch_generator,fe366801,codestral_34a5_tpusg_batch,failure,90.28,13403,10240,3163,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755699321
14,5c41_tpu_sketch_generator,5c417668,codestral_34a5_tpusg_batch,failure,94.54,13573,10240,3333,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755699516
15,848c_tpu_sketch_generator,848c87d0,codestral_34a5_tpusg_batch,failure,58.18,12110,10240,1870,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755699626
16,bb7c_tpu_sketch_generator,bb7cd13f,codestral_34a5_tpusg_batch,failure,125.75,14835,10240,4595,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755699698
17,87e1_tpu_sketch_generator,87e17807,codestral_34a5_tpusg_batch,failure,129.67,14988,10240,4748,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755699861
18,bb85_tpu_sketch_generator,bb85b25d,codestral_34a5_tpusg_batch,failure,92.46,13480,10240,3240,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755700028
19,6602_tpu_sketch_generator,66028d89,codestral_34a5_tpusg_batch,failure,84.04,13156,10240,2916,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755700159
20,cbeb_tpu_sketch_generator,cbeb60e2,codestral_34a5_tpusg_batch,failure,81.79,13068,10240,2828,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755700272
21,9228_tpu_sketch_generator,9228b258,codestral_34a5_tpusg_batch,failure,77.72,12904,10240,2664,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755700377
22,edbf_tpu_sketch_generator,edbf5547,codestral_34a5_tpusg_batch,success,118.91,14554,10240,4314,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755700469
23,d92d_tpu_sketch_generator,d92dae75,codestral_34a5_tpusg_batch,failure,122.64,14706,10240,4466,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755700666
24,4f0c_tpu_sketch_generator,4f0c1cce,codestral_34a5_tpusg_batch,failure,126.01,14840,10240,4600,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755700810
25,24f6_tpu_sketch_generator,24f665ba,codestral_34a5_tpusg_batch,failure,114.76,14385,10240,4145,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755700974
26,786d_tpu_sketch_generator,786d9294,codestral_34a5_tpusg_batch,success,81.81,9151,6144,3007,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755701111
27,6cd1_tpu_sketch_generator,6cd1a036,codestral_34a5_tpusg_batch,failure,98.77,13747,10240,3507,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755701260
28,8170_tpu_sketch_generator,8170d7d6,codestral_34a5_tpusg_batch,failure,88.57,13328,10240,3088,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755701373
29,88b3_tpu_sketch_generator,88b30ba9,codestral_34a5_tpusg_batch,failure,55.31,12005,10240,1765,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755701485
30,3b89_tpu_sketch_generator,3b89eee0,codestral_34a5_tpusg_batch,failure,67.89,12497,10240,2257,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755701555
