num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,0bc1_model_converter,0bc1fd66,qwen2.5-coder:32b_363e_mc_batch,success,36.92,4633,3382,1251,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190388
2,2e07_model_converter,2e07160a,qwen2.5-coder:32b_363e_mc_batch,success,30.69,4405,3371,1034,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190458
3,a9de_model_converter,a9debb96,qwen2.5-coder:32b_363e_mc_batch,success,30.61,4406,3371,1035,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190523
4,c180_model_converter,c1803c9b,qwen2.5-coder:32b_363e_mc_batch,success,30.49,4401,3371,1030,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190587
5,6f66_model_converter,6f66c1f8,qwen2.5-coder:32b_363e_mc_batch,success,30.62,4406,3371,1035,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190652
6,e48f_model_converter,e48fa2fa,qwen2.5-coder:32b_363e_mc_batch,success,36.23,4571,3371,1200,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190716
7,6ee2_model_converter,6ee204d5,qwen2.5-coder:32b_363e_mc_batch,success,30.54,4403,3371,1032,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190785
8,64ce_model_converter,64ceef31,qwen2.5-coder:32b_363e_mc_batch,success,30.39,4390,3371,1019,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190850
9,ae5e_model_converter,ae5e4d56,qwen2.5-coder:32b_363e_mc_batch,success,37.72,4662,3371,1291,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190915
10,780e_model_converter,780e2788,qwen2.5-coder:32b_363e_mc_batch,success,30.09,4386,3371,1015,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758190987
