num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,f301_data_processor,f3014427,qwen2.5-coder:32b_7e6b_dp_batch,success,65.88,12595,10556,2039,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758709219
2,ac5f_data_processor,ac5f45e5,qwen2.5-coder:32b_7e6b_dp_batch,success,64.79,12704,10575,2129,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758709321
3,337d_data_processor,337dd0bd,qwen2.5-coder:32b_7e6b_dp_batch,success,60.54,12727,10763,1964,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758709417
4,1673_data_processor,1673306f,qwen2.5-coder:32b_7e6b_dp_batch,success,78.23,13170,10556,2614,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758709508
5,785c_data_processor,785c5216,qwen2.5-coder:32b_7e6b_dp_batch,failure,97.57,19485,16391,3094,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758709617
6,9b7c_data_processor,9b7cfcff,qwen2.5-coder:32b_7e6b_dp_batch,success,66.12,12342,10394,1948,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758709751
7,c1f6_data_processor,c1f60c4a,qwen2.5-coder:32b_7e6b_dp_batch,success,75.21,13089,10726,2363,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758709847
8,bc49_data_processor,bc4900bc,qwen2.5-coder:32b_7e6b_dp_batch,success,105.05,14864,12111,2753,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758709955
9,d4bc_data_processor,d4bce685,qwen2.5-coder:32b_7e6b_dp_batch,success,87.37,13537,10817,2720,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758710093
10,365e_data_processor,365e28f9,qwen2.5-coder:32b_7e6b_dp_batch,success,75.33,13105,10847,2258,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758710212
11,f1bc_data_processor,f1bcf31d,qwen2.5-coder:32b_7e6b_dp_batch,success,76.71,12901,10529,2372,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758710327
12,f82f_data_processor,f82f1d6d,qwen2.5-coder:32b_7e6b_dp_batch,success,115.89,16421,12894,3527,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758710436
13,8a1e_data_processor,8a1e2eef,qwen2.5-coder:32b_7e6b_dp_batch,success,163.97,20184,14922,5262,0.0,N/A,11,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758710583
14,ce86_data_processor,ce861677,qwen2.5-coder:32b_7e6b_dp_batch,success,74.84,12920,10489,2431,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758710780
