num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,23f7_model_converter,23f7cf98,qwen2.5-coder:32b_7e6b_mc_batch,success,105.33,2926,2169,757,0.0,N/A,2,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707008
2,3114_model_converter,31148cc3,qwen2.5-coder:32b_7e6b_mc_batch,success,60.52,5774,4327,1447,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707150
3,babe_model_converter,babe78c1,qwen2.5-coder:32b_7e6b_mc_batch,success,40.44,4342,3313,1029,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707249
4,95bd_model_converter,95bd9bb7,qwen2.5-coder:32b_7e6b_mc_batch,success,41.96,4664,3388,1276,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707323
5,e50d_model_converter,e50d8f2b,qwen2.5-coder:32b_7e6b_mc_batch,success,40.97,4811,3383,1428,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707400
6,addb_model_converter,addb8e4f,qwen2.5-coder:32b_7e6b_mc_batch,success,52.9,4758,3418,1340,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707474
7,8225_model_converter,82256b4e,qwen2.5-coder:32b_7e6b_mc_batch,success,40.08,4747,3390,1357,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707561
8,3c08_model_converter,3c0895c2,qwen2.5-coder:32b_7e6b_mc_batch,success,48.46,5436,4039,1397,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707636
9,f794_model_converter,f7942cb2,qwen2.5-coder:32b_7e6b_mc_batch,success,11.79,788,451,337,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707721
10,fb6d_model_converter,fb6daf08,qwen2.5-coder:32b_7e6b_mc_batch,success,37.18,4648,3360,1288,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707763
11,f519_model_converter,f519b02b,qwen2.5-coder:32b_7e6b_mc_batch,success,28.93,4260,3348,912,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707834
12,379d_model_converter,379dd1c4,qwen2.5-coder:32b_7e6b_mc_batch,success,37.56,4688,3416,1272,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707896
13,9215_model_converter,92159950,qwen2.5-coder:32b_7e6b_mc_batch,success,35.28,4371,3353,1018,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758707967
14,9369_model_converter,9369465f,qwen2.5-coder:32b_7e6b_mc_batch,success,45.21,4755,3377,1378,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708036
15,f8bb_model_converter,f8bbeb36,qwen2.5-coder:32b_7e6b_mc_batch,success,66.09,8908,6804,2104,0.0,N/A,5,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708117
16,634b_model_converter,634bce9a,qwen2.5-coder:32b_7e6b_mc_batch,success,7.64,734,451,283,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708222
17,82d0_model_converter,82d01214,qwen2.5-coder:32b_7e6b_mc_batch,success,9.69,769,451,318,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708259
18,f71f_model_converter,f71f85be,qwen2.5-coder:32b_7e6b_mc_batch,success,16.35,805,451,354,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708299
19,9476_model_converter,9476dcf6,qwen2.5-coder:32b_7e6b_mc_batch,success,47.44,5061,3919,1142,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708345
20,5274_model_converter,5274e394,qwen2.5-coder:32b_7e6b_mc_batch,success,49.26,5729,4222,1507,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708428
21,d9aa_model_converter,d9aa6d4a,qwen2.5-coder:32b_7e6b_mc_batch,failure,77.04,9369,7004,2365,0.0,N/A,5,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708515
22,bec5_model_converter,bec57a71,qwen2.5-coder:32b_7e6b_mc_batch,success,23.7,2845,2166,679,0.0,N/A,2,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708632
23,3a42_model_converter,3a4281ca,qwen2.5-coder:32b_7e6b_mc_batch,success,33.81,4523,3413,1110,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708689
24,f39d_model_converter,f39d4249,qwen2.5-coder:32b_7e6b_mc_batch,success,23.41,2894,2159,735,0.0,N/A,2,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708756
25,7e56_model_converter,7e56a5d4,qwen2.5-coder:32b_7e6b_mc_batch,success,47.7,4561,3327,1234,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708811
26,7c47_model_converter,7c475ddd,qwen2.5-coder:32b_7e6b_mc_batch,success,68.06,9999,7755,2244,0.0,N/A,5,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758708893
27,4fdf_model_converter,4fdfa8bd,qwen2.5-coder:32b_7e6b_mc_batch,success,10.62,765,451,314,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758709016
28,e026_model_converter,e026acf2,qwen2.5-coder:32b_7e6b_mc_batch,success,36.16,4564,3384,1180,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758709056
29,39ad_model_converter,39ad1e32,qwen2.5-coder:32b_7e6b_mc_batch,success,42.16,4498,3357,1141,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758709125
30,f788_model_converter,f788c78d,qwen2.5-coder:32b_7e6b_mc_batch,success,9.18,793,451,342,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1758709201
