num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,7cdb_sketch_generator,7cdbcd9f,qwen2.5-coder:32b_7e6b_sg_batch,failure,188.22,17216,11575,5641,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758712754
2,b186_sketch_generator,b186aad8,qwen2.5-coder:32b_7e6b_sg_batch,failure,201.42,17636,11578,6058,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758713086
3,c8b7_sketch_generator,c8b7c9f9,qwen2.5-coder:32b_7e6b_sg_batch,failure,214.02,17635,11572,6063,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758713425
4,f98f_sketch_generator,f98fdf05,qwen2.5-coder:32b_7e6b_sg_batch,failure,194.04,17530,11562,5968,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758713801
5,a3d7_sketch_generator,a3d760e5,qwen2.5-coder:32b_7e6b_sg_batch,failure,197.97,17320,11577,5743,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758714163
6,6053_sketch_generator,6053786c,qwen2.5-coder:32b_7e6b_sg_batch,failure,210.53,17374,11584,5790,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758714502
7,885d_sketch_generator,885d29ea,qwen2.5-coder:32b_7e6b_sg_batch,failure,200.62,17477,11579,5898,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758714850
8,eca8_sketch_generator,eca8221d,qwen2.5-coder:32b_7e6b_sg_batch,failure,185.35,17313,11577,5736,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758715213
9,17af_sketch_generator,17af6142,qwen2.5-coder:32b_7e6b_sg_batch,failure,219.48,17929,11579,6350,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758715563
10,6903_sketch_generator,6903de73,qwen2.5-coder:32b_7e6b_sg_batch,failure,233.21,20195,13509,6686,0.0,N/A,7,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758715948
