num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,d848_data_processor,d8481760,qwen2.5-coder:32b_363e_dp_batch,success,111.31,13217,10712,2505,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187076
2,2c0c_data_processor,2c0c6cc9,qwen2.5-coder:32b_363e_dp_batch,success,81.04,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187218
3,2f4c_data_processor,2f4cbcde,qwen2.5-coder:32b_363e_dp_batch,success,81.13,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187329
4,6139_data_processor,61393200,qwen2.5-coder:32b_363e_dp_batch,success,81.0,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187440
5,857a_data_processor,857afb50,qwen2.5-coder:32b_363e_dp_batch,success,81.03,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187552
6,0d06_data_processor,0d065bd8,qwen2.5-coder:32b_363e_dp_batch,success,81.03,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187663
7,612b_data_processor,612b5e86,qwen2.5-coder:32b_363e_dp_batch,success,81.02,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187775
8,5fdb_data_processor,5fdbddc0,qwen2.5-coder:32b_363e_dp_batch,success,82.08,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187886
9,868c_data_processor,868cf926,qwen2.5-coder:32b_363e_dp_batch,success,81.05,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758187999
10,2e96_data_processor,2e96dd2b,qwen2.5-coder:32b_363e_dp_batch,success,69.5,12866,10535,2331,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758188110
