num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,f67b_data_processor,f67bf089,qwen2.5-coder:32b_bf8c_dp_batch,success,113.79,13319,10709,2610,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758182145
2,56bc_data_processor,56bc7b18,qwen2.5-coder:32b_bf8c_dp_batch,success,80.93,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758182295
3,8664_data_processor,8664a05f,qwen2.5-coder:32b_bf8c_dp_batch,success,80.97,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758182407
4,838d_data_processor,838d86ba,qwen2.5-coder:32b_bf8c_dp_batch,success,80.92,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758182518
5,ab2a_data_processor,ab2a5169,qwen2.5-coder:32b_bf8c_dp_batch,success,80.93,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758182630
6,43ba_data_processor,43bae09a,qwen2.5-coder:32b_bf8c_dp_batch,success,80.91,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758182741
7,007a_data_processor,007a32fb,qwen2.5-coder:32b_bf8c_dp_batch,success,80.95,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758182853
8,d768_data_processor,d7682669,qwen2.5-coder:32b_bf8c_dp_batch,success,81.79,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758182964
9,7bd6_data_processor,7bd65766,qwen2.5-coder:32b_bf8c_dp_batch,success,81.81,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758183077
10,895a_data_processor,895a4682,qwen2.5-coder:32b_bf8c_dp_batch,success,69.41,12866,10535,2331,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758183189
11,0000_data_processor,000063cf,qwen2.5-coder:32b_bf8c_dp_batch,success,80.93,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758183289
12,df4c_data_processor,df4cb23a,qwen2.5-coder:32b_bf8c_dp_batch,success,69.5,12866,10535,2331,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758183400
13,fe7a_data_processor,fe7a14e1,qwen2.5-coder:32b_bf8c_dp_batch,success,80.93,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758183500
14,1d06_data_processor,1d068ba0,qwen2.5-coder:32b_bf8c_dp_batch,success,80.9,13572,10826,2746,0.0,"{'top_p:0.3', 'temperature:0.1'}",9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758183611
