num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,ad0d_data_processor,ad0d9102,qwen2.5-coder:32b_8207_dp_batch,success,135.81,13009,10740,2269,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758109120
2,fe46_data_processor,fe467d86,qwen2.5-coder:32b_8207_dp_batch,success,99.7,12946,10737,2209,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758109338
3,1543_data_processor,154349dd,qwen2.5-coder:32b_8207_dp_batch,failure,244.19,24394,18863,5531,0.0,N/A,13,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758109511
4,89f6_data_processor,89f6e371,qwen2.5-coder:32b_8207_dp_batch,success,84.84,12338,10494,1844,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758109829
5,fff4_data_processor,fff40f00,qwen2.5-coder:32b_8207_dp_batch,success,94.85,12704,10682,2022,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758109983
6,1d73_data_processor,1d73c4ea,qwen2.5-coder:32b_8207_dp_batch,failure,288.41,21708,14990,6718,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758110150
7,52df_data_processor,52dfb1af,qwen2.5-coder:32b_8207_dp_batch,success,112.45,13094,10552,2542,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758110510
8,00f6_data_processor,00f67b4b,qwen2.5-coder:32b_8207_dp_batch,success,148.54,16367,13011,3356,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758110693
9,df3d_data_processor,df3d016e,qwen2.5-coder:32b_8207_dp_batch,success,116.43,13296,10675,2621,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758110913
10,b0bc_data_processor,b0bc6648,qwen2.5-coder:32b_8207_dp_batch,failure,110.94,15668,13344,2324,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758111100
11,5ab0_data_processor,5ab0e1cd,qwen2.5-coder:32b_8207_dp_batch,success,113.13,13249,10718,2531,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758111282
12,4207_data_processor,4207944a,qwen2.5-coder:32b_8207_dp_batch,success,200.42,17572,12938,4634,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758111471
13,8fd1_data_processor,8fd1349f,qwen2.5-coder:32b_8207_dp_batch,failure,100.51,14105,11995,2110,0.0,N/A,8,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758111744
14,10d7_data_processor,10d703b6,qwen2.5-coder:32b_8207_dp_batch,success,88.3,12492,10576,1916,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758111912
15,1fcb_data_processor,1fcb136e,qwen2.5-coder:32b_8207_dp_batch,success,101.37,12832,10577,2255,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758112071
16,91d7_data_processor,91d77503,qwen2.5-coder:32b_8207_dp_batch,success,102.43,12971,10693,2278,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758112242
17,0c54_data_processor,0c54b38a,qwen2.5-coder:32b_8207_dp_batch,success,78.02,12258,10586,1672,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758112417
18,40ea_data_processor,40eae2eb,qwen2.5-coder:32b_8207_dp_batch,success,88.74,12423,10472,1951,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758112566
19,f4be_data_processor,f4be430f,qwen2.5-coder:32b_8207_dp_batch,success,121.05,13887,11146,2741,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758112725
20,929b_data_processor,929b0181,qwen2.5-coder:32b_8207_dp_batch,success,97.74,12872,10707,2165,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758112918
21,88ba_data_processor,88ba14be,qwen2.5-coder:32b_8207_dp_batch,success,129.83,13665,10690,2975,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758113087
22,7a25_data_processor,7a250dfa,qwen2.5-coder:32b_8207_dp_batch,success,89.81,12457,10481,1976,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758113290
23,1ef4_data_processor,1ef4155e,qwen2.5-coder:32b_8207_dp_batch,success,136.52,13792,10657,3135,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758113449
24,cb5d_data_processor,cb5d378e,qwen2.5-coder:32b_8207_dp_batch,success,99.16,12800,10581,2219,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758113657
25,990f_data_processor,990fbe48,qwen2.5-coder:32b_8207_dp_batch,success,104.35,13175,10845,2330,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758113826
26,eb33_data_processor,eb33a647,qwen2.5-coder:32b_8207_dp_batch,success,90.93,12634,10645,1989,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758114001
27,2f6f_data_processor,2f6f11a5,qwen2.5-coder:32b_8207_dp_batch,success,110.27,13030,10548,2482,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758114162
28,390a_data_processor,390a9b95,qwen2.5-coder:32b_8207_dp_batch,success,106.34,13077,10690,2387,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758114344
29,cc51_data_processor,cc51d4fd,qwen2.5-coder:32b_8207_dp_batch,success,222.96,21780,16706,5074,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1758114521
