num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,9107_sketch_generator,91074b76,qwen2.5-coder:32b_8207_sg_batch,failure,239.39,17139,11573,5566,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758118330
2,2c18_sketch_generator,2c18f7f6,qwen2.5-coder:32b_8207_sg_batch,failure,272.83,17990,11570,6420,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758118761
3,9e51_sketch_generator,9e515c36,qwen2.5-coder:32b_8207_sg_batch,failure,250.87,17425,11575,5850,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758119225
4,ae09_sketch_generator,ae09f33d,qwen2.5-coder:32b_8207_sg_batch,failure,252.1,17442,11580,5862,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758119654
5,d267_sketch_generator,d267d110,qwen2.5-coder:32b_8207_sg_batch,failure,262.55,17708,11577,6131,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758120109
6,6d7b_sketch_generator,6d7b8caa,qwen2.5-coder:32b_8207_sg_batch,failure,260.49,17646,11577,6069,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758120574
7,2d0b_sketch_generator,2d0ba723,qwen2.5-coder:32b_8207_sg_batch,failure,258.96,17620,11575,6045,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758120986
8,b1bf_sketch_generator,b1bf62b6,qwen2.5-coder:32b_8207_sg_batch,failure,250.68,17397,11561,5836,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758121424
9,c662_sketch_generator,c6621fe1,qwen2.5-coder:32b_8207_sg_batch,failure,249.45,17376,11573,5803,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758121857
10,2267_sketch_generator,22675c85,qwen2.5-coder:32b_8207_sg_batch,failure,264.05,17767,11580,6187,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758122310
11,5ad9_sketch_generator,5ad96e15,qwen2.5-coder:32b_8207_sg_batch,failure,264.32,17772,11575,6197,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758122749
12,6a1b_sketch_generator,6a1b1ce2,qwen2.5-coder:32b_8207_sg_batch,failure,244.6,17264,11570,5694,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758123201
13,2fe3_sketch_generator,2fe3294b,qwen2.5-coder:32b_8207_sg_batch,failure,246.42,17318,11575,5743,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758123648
14,eccf_sketch_generator,eccf8b30,qwen2.5-coder:32b_8207_sg_batch,failure,258.77,17621,11571,6050,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758124071
15,877d_sketch_generator,877d5034,qwen2.5-coder:32b_8207_sg_batch,failure,259.14,17633,11556,6077,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758124531
16,8061_sketch_generator,80613440,qwen2.5-coder:32b_8207_sg_batch,failure,269.65,17913,11576,6337,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758124990
17,0be8_sketch_generator,0be86ccb,qwen2.5-coder:32b_8207_sg_batch,failure,255.69,17557,11574,5983,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1758125461
