num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,30cf_sketch_generator,30cf5eea,phi4_74cc_sg_batch,failure,124.12,17017,11189,5828,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760077788
2,12da_sketch_generator,12da5041,phi4_74cc_sg_batch,failure,88.82,16891,11189,5702,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760078085
3,66c4_sketch_generator,66c4eedb,phi4_74cc_sg_batch,failure,92.39,17025,11189,5836,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760078330
4,2036_sketch_generator,20366f08,phi4_74cc_sg_batch,failure,96.33,17064,11189,5875,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760078577
5,7778_sketch_generator,7778e680,phi4_74cc_sg_batch,failure,92.96,17191,11189,6002,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760078829
6,0893_sketch_generator,0893f3ac,phi4_74cc_sg_batch,failure,34.91,7403,5049,2354,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760079077
7,e6b3_sketch_generator,e6b3dac1,phi4_74cc_sg_batch,failure,94.0,17268,11189,6079,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760079174
8,b309_sketch_generator,b3090691,phi4_74cc_sg_batch,failure,89.19,17165,11189,5976,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760079428
9,818d_sketch_generator,818d93db,phi4_74cc_sg_batch,failure,84.16,16743,11189,5554,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760079671
10,f875_sketch_generator,f875a8a4,phi4_74cc_sg_batch,failure,87.08,16930,11189,5741,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760079910
11,9904_sketch_generator,9904c96e,phi4_74cc_sg_batch,failure,95.17,16884,11189,5695,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760080151
12,d68a_sketch_generator,d68af036,phi4_74cc_sg_batch,failure,83.18,16664,11189,5475,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760080402
13,bdb0_sketch_generator,bdb0ff80,phi4_74cc_sg_batch,failure,83.05,16778,11189,5589,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760080646
14,1050_sketch_generator,105011aa,phi4_74cc_sg_batch,failure,89.16,16760,11189,5571,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760080884
15,974e_sketch_generator,974e3d7a,phi4_74cc_sg_batch,failure,86.98,17033,11189,5844,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760081131
16,4809_sketch_generator,4809f9e7,phi4_74cc_sg_batch,failure,87.97,17148,11189,5959,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760081373
17,61c6_sketch_generator,61c671ce,phi4_74cc_sg_batch,failure,86.6,17057,11189,5868,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760081618
18,4a96_sketch_generator,4a96848b,phi4_74cc_sg_batch,failure,85.32,16991,11189,5802,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760081861
19,a27f_sketch_generator,a27f81ab,phi4_74cc_sg_batch,failure,81.97,16680,11189,5491,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760082104
20,34f8_sketch_generator,34f8db50,phi4_74cc_sg_batch,failure,82.54,16779,11189,5590,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760082343
21,90d2_sketch_generator,90d2a008,phi4_74cc_sg_batch,failure,84.25,16897,11189,5708,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760082580
22,190d_sketch_generator,190d5f5f,phi4_74cc_sg_batch,failure,85.48,16811,11189,5622,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760082821
23,71fa_sketch_generator,71fad9f4,phi4_74cc_sg_batch,failure,87.22,17093,11189,5904,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760083061
24,02c7_sketch_generator,02c7f6d5,phi4_74cc_sg_batch,failure,82.01,16753,11189,5564,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760083309
25,75ed_sketch_generator,75edce8e,phi4_74cc_sg_batch,failure,83.3,16852,11189,5663,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760083550
26,9e36_sketch_generator,9e361745,phi4_74cc_sg_batch,failure,35.15,7418,5049,2369,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760083792
27,15c0_sketch_generator,15c069f2,phi4_74cc_sg_batch,failure,83.29,16832,11189,5643,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1760083887
