num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,ac58_data_processor,ac584740,phi4_ebaa_dp_batch,failure,105.97,20528,15644,4884,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759318987
2,a85b_data_processor,a85b4063,phi4_ebaa_dp_batch,success,82.52,18254,14465,3789,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759319129
3,d95f_data_processor,d95f02d1,phi4_ebaa_dp_batch,success,64.61,15842,12897,2945,0.0,"{'temperature:0.1', 'top_p:0.3'}",10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759319244
4,c193_data_processor,c1936119,phi4_ebaa_dp_batch,failure,82.98,19057,15319,3738,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759319338
5,c5e4_data_processor,c5e461ac,phi4_ebaa_dp_batch,failure,89.9,19595,15517,4078,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759319451
6,d35c_data_processor,d35c5062,phi4_ebaa_dp_batch,success,64.63,15842,12897,2945,0.0,"{'temperature:0.1', 'top_p:0.3'}",10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759319572
7,cce7_data_processor,cce7931d,phi4_ebaa_dp_batch,failure,97.66,20126,15644,4482,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759319666
8,07b4_data_processor,07b4c767,phi4_ebaa_dp_batch,failure,88.99,19569,15521,4048,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759319795
9,0ece_data_processor,0ecef02b,phi4_ebaa_dp_batch,failure,92.29,19767,15557,4210,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759319914
10,94ad_data_processor,94ad9ff4,phi4_ebaa_dp_batch,failure,88.08,20499,16513,3986,0.0,"{'temperature:0.1', 'top_p:0.3'}",12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759320037
11,dba5_data_processor,dba5d520,phi4_ebaa_dp_batch,success,82.53,18254,14465,3789,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759320156
12,f83b_data_processor,f83b6233,phi4_ebaa_dp_batch,success,62.15,13675,10792,2883,0.0,"{'temperature:0.1', 'top_p:0.3'}",9,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759320270
13,d924_data_processor,d9240877,phi4_ebaa_dp_batch,failure,92.93,20783,16548,4235,0.0,"{'temperature:0.1', 'top_p:0.3'}",12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759320362
14,1f27_data_processor,1f27eb6c,phi4_ebaa_dp_batch,failure,88.4,20526,16519,4007,0.0,"{'temperature:0.1', 'top_p:0.3'}",12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759320485
15,edfb_data_processor,edfbb1a2,phi4_ebaa_dp_batch,failure,136.81,28948,22787,6161,0.0,"{'temperature:0.1', 'top_p:0.3'}",15,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759320605
16,0ff6_data_processor,0ff63065,phi4_ebaa_dp_batch,failure,90.5,19659,15541,4118,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759320787
17,1933_data_processor,19334b93,phi4_ebaa_dp_batch,failure,89.83,20633,16562,4071,0.0,"{'temperature:0.1', 'top_p:0.3'}",12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759320908
18,b5d0_data_processor,b5d0e474,phi4_ebaa_dp_batch,success,82.62,18254,14465,3789,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759321028
19,46bd_data_processor,46bd69d0,phi4_ebaa_dp_batch,failure,83.51,19041,15300,3741,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759321143
20,3c83_data_processor,3c83c189,phi4_ebaa_dp_batch,success,82.97,18254,14465,3789,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759321256
21,dfb7_data_processor,dfb74e7b,phi4_ebaa_dp_batch,failure,90.46,19659,15558,4101,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759321371
22,65ed_data_processor,65ed3025,phi4_ebaa_dp_batch,success,59.6,13478,10733,2745,0.0,"{'temperature:0.1', 'top_p:0.3'}",9,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759321491
23,3dd8_data_processor,3dd8cd4d,phi4_ebaa_dp_batch,failure,107.8,20612,15644,4968,0.0,"{'temperature:0.1', 'top_p:0.3'}",11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1759321581
