num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,dae6_model_converter,dae6e1d4,phi4_ebaa_mc_batch,success,36.79,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759317663
2,7ece_model_converter,7ece2ac1,phi4_ebaa_mc_batch,success,6.8,769,416,353,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759317759
3,5ce8_model_converter,5ce812cb,phi4_ebaa_mc_batch,success,6.21,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759317796
4,cfee_model_converter,cfee90f7,phi4_ebaa_mc_batch,failure,35.72,9151,7616,1535,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759317832
5,c7be_model_converter,c7be2bcf,phi4_ebaa_mc_batch,success,6.46,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759317911
6,0425_model_converter,04252637,phi4_ebaa_mc_batch,success,24.73,4898,3764,1134,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759317947
7,d420_model_converter,d420fbe6,phi4_ebaa_mc_batch,success,6.41,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318008
8,a9fa_model_converter,a9fabbdc,phi4_ebaa_mc_batch,success,6.24,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318044
9,ee01_model_converter,ee0199da,phi4_ebaa_mc_batch,success,5.86,720,416,304,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318080
10,7981_model_converter,7981dc29,phi4_ebaa_mc_batch,success,6.21,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318117
11,d210_model_converter,d2104010,phi4_ebaa_mc_batch,success,6.18,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318153
12,5e67_model_converter,5e67761f,phi4_ebaa_mc_batch,success,6.21,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318190
13,0002_model_converter,00027110,phi4_ebaa_mc_batch,success,6.21,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318226
14,b610_model_converter,b610f7a8,phi4_ebaa_mc_batch,failure,35.54,9138,7610,1528,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318262
15,4fc0_model_converter,4fc0c75a,phi4_ebaa_mc_batch,success,6.45,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318341
16,71ae_model_converter,71aeae4b,phi4_ebaa_mc_batch,success,6.15,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318377
17,eb34_model_converter,eb34eba4,phi4_ebaa_mc_batch,success,6.21,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318414
18,e894_model_converter,e894928d,phi4_ebaa_mc_batch,success,6.23,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318450
19,3214_model_converter,3214cd07,phi4_ebaa_mc_batch,success,6.27,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318487
20,5ddd_model_converter,5ddd025f,phi4_ebaa_mc_batch,success,5.91,722,416,306,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318523
21,0cbf_model_converter,0cbf446a,phi4_ebaa_mc_batch,failure,35.6,9139,7611,1528,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318558
22,2ee8_model_converter,2ee83441,phi4_ebaa_mc_batch,success,6.48,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318637
23,a184_model_converter,a1844278,phi4_ebaa_mc_batch,success,6.16,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318673
24,9cef_model_converter,9cefb6cb,phi4_ebaa_mc_batch,failure,35.61,9136,7610,1526,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318710
25,dc88_model_converter,dc882972,phi4_ebaa_mc_batch,success,6.51,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318788
26,1adb_model_converter,1adbadc0,phi4_ebaa_mc_batch,success,6.18,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318825
27,903e_model_converter,903e01ef,phi4_ebaa_mc_batch,success,6.13,733,416,317,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318861
28,83ee_model_converter,83ee4b23,phi4_ebaa_mc_batch,success,6.38,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318897
29,d88b_model_converter,d88bd014,phi4_ebaa_mc_batch,success,5.92,722,416,306,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318934
30,5e1e_model_converter,5e1e639d,phi4_ebaa_mc_batch,success,6.25,737,416,321,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1759318970
