num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,c821_data_processor,c821c9d2,phi4_be48_dp_batch,success,98.6,21134,16641,4493,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761731777
2,9e1f_data_processor,9e1ffed0,phi4_be48_dp_batch,success,41.83,13451,10612,2839,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761731915
3,65d4_data_processor,65d4d041,phi4_be48_dp_batch,success,76.26,23673,18634,5039,0.0,N/A,13,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761731990
4,5b5c_data_processor,5b5ca0d0,phi4_be48_dp_batch,success,53.42,19295,15760,3535,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732097
5,c42b_data_processor,c42baf08,phi4_be48_dp_batch,success,43.82,13445,10452,2993,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732181
6,3162_data_processor,316294c5,phi4_be48_dp_batch,failure,32.94,12733,10585,2148,0.0,N/A,8,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732255
7,fff4_data_processor,fff4a2f1,phi4_be48_dp_batch,failure,72.65,26450,21751,4699,0.0,N/A,15,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732318
8,e9c6_data_processor,e9c6db02,phi4_be48_dp_batch,failure,58.59,19094,15219,3875,0.0,N/A,11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732421
9,20f4_data_processor,20f4f5a5,phi4_be48_dp_batch,failure,59.45,20208,16319,3889,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732511
10,d51c_data_processor,d51cc36c,phi4_be48_dp_batch,success,57.77,18462,14594,3868,0.0,N/A,11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732602
11,de2b_data_processor,de2b8fa9,phi4_be48_dp_batch,success,40.48,13381,10638,2743,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732692
12,1a4f_data_processor,1a4f811a,phi4_be48_dp_batch,failure,61.32,20701,16644,4057,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732763
13,cc82_data_processor,cc826b7f,phi4_be48_dp_batch,failure,56.72,17672,13898,3774,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732854
14,cb43_data_processor,cb43bac9,phi4_be48_dp_batch,failure,76.19,28602,23689,4913,0.0,N/A,16,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761732941
15,a00a_data_processor,a00a0a2b,phi4_be48_dp_batch,failure,51.1,17180,13812,3368,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733049
16,8912_data_processor,89123fa0,phi4_be48_dp_batch,failure,76.92,22440,17344,5096,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733131
17,b0e4_data_processor,b0e43aea,phi4_be48_dp_batch,success,52.02,17828,14396,3432,0.0,N/A,11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733240
18,5a4e_data_processor,5a4e496c,phi4_be48_dp_batch,success,47.97,15409,12146,3263,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733332
19,cf8c_data_processor,cf8c7efa,phi4_be48_dp_batch,failure,63.36,21359,17216,4143,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733410
20,327a_data_processor,327a67e3,phi4_be48_dp_batch,failure,47.62,16920,13805,3115,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733506
21,b730_data_processor,b730d732,phi4_be48_dp_batch,success,34.34,12718,10449,2269,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733585
22,011a_data_processor,011ae93d,phi4_be48_dp_batch,success,48.38,15862,12614,3248,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733650
23,1b8b_data_processor,1b8b5dd3,phi4_be48_dp_batch,failure,43.03,15251,12452,2799,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733729
24,dfeb_data_processor,dfeb7006,phi4_be48_dp_batch,success,61.41,18566,14469,4097,0.0,N/A,11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733802
25,4609_data_processor,460958d5,phi4_be48_dp_batch,failure,57.7,23810,20122,3688,0.0,N/A,14,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733894
26,74bb_data_processor,74bb8245,phi4_be48_dp_batch,success,47.55,15765,12618,3147,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761733983
27,7a15_data_processor,7a153dea,phi4_be48_dp_batch,success,46.13,15421,12357,3064,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761734062
28,048a_data_processor,048afec2,phi4_be48_dp_batch,failure,62.28,21683,17683,4000,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761734138
29,a25c_data_processor,a25ce6d3,phi4_be48_dp_batch,success,37.0,13049,10556,2493,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761734231
30,a6b4_data_processor,a6b490a9,phi4_be48_dp_batch,success,67.95,18761,14338,4423,0.0,N/A,11,0,0,"['benchmark', 'data_processor', 'phi4:latest']",1761734297
