num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,a98e_model_converter,a98e49a3,phi4_d0f7_mc_batch,success,88.73,9326,7432,1894,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761203552
2,6344_model_converter,63449ff6,phi4_d0f7_mc_batch,success,18.34,5114,3942,1172,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761203698
3,a3a5_model_converter,a3a56d4b,phi4_d0f7_mc_batch,success,21.63,5420,4025,1395,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761203753
4,9054_model_converter,90548589,phi4_d0f7_mc_batch,success,4.53,745,416,329,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761203812
5,1424_model_converter,14249bdd,phi4_d0f7_mc_batch,success,5.3,810,416,394,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761203846
6,2540_model_converter,25406099,phi4_d0f7_mc_batch,success,4.17,724,416,308,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761203882
7,969f_model_converter,969fdfba,phi4_d0f7_mc_batch,failure,41.05,9956,7237,2719,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761203915
8,ad75_model_converter,ad75ca02,phi4_d0f7_mc_batch,success,6.55,890,416,474,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761203995
9,b973_model_converter,b973199b,phi4_d0f7_mc_batch,success,12.72,3721,2848,873,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204032
10,18a3_model_converter,18a36bbb,phi4_d0f7_mc_batch,success,20.03,5033,3705,1328,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204081
11,1ff9_model_converter,1ff9d584,phi4_d0f7_mc_batch,success,4.73,760,416,344,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204138
12,3a1b_model_converter,3a1bbd3d,phi4_d0f7_mc_batch,success,15.13,3466,2464,1002,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204172
13,8ae1_model_converter,8ae13cf9,phi4_d0f7_mc_batch,success,11.34,3046,2295,751,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204236
14,b086_model_converter,b0865829,phi4_d0f7_mc_batch,success,4.23,716,416,300,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204281
15,47a6_model_converter,47a66ad6,phi4_d0f7_mc_batch,success,17.31,4830,3696,1134,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204315
16,d413_model_converter,d41337f4,phi4_d0f7_mc_batch,success,5.09,790,416,374,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204370
17,1f9c_model_converter,1f9c4d9a,phi4_d0f7_mc_batch,success,18.94,4910,3652,1258,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204405
18,5943_model_converter,594307da,phi4_d0f7_mc_batch,success,4.67,757,416,341,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204460
19,9a82_model_converter,9a82fa7a,phi4_d0f7_mc_batch,success,5.14,789,416,373,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204494
20,d2de_model_converter,d2de57b5,phi4_d0f7_mc_batch,success,4.58,758,416,342,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204528
21,5476_model_converter,5476b6d2,phi4_d0f7_mc_batch,failure,35.13,10082,7793,2289,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204565
22,ba2a_model_converter,ba2a1999,phi4_d0f7_mc_batch,success,9.77,2400,1733,667,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204645
23,5648_model_converter,56480ee2,phi4_d0f7_mc_batch,success,4.39,716,416,300,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204687
24,8e16_model_converter,8e16feb0,phi4_d0f7_mc_batch,success,36.94,10137,7751,2386,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204723
25,3cbc_model_converter,3cbc10fd,phi4_d0f7_mc_batch,success,5.08,777,416,361,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204803
26,ecb6_model_converter,ecb6333d,phi4_d0f7_mc_batch,success,4.6,758,416,342,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204839
27,e50c_model_converter,e50c8589,phi4_d0f7_mc_batch,success,5.11,796,416,380,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204873
28,dc5c_model_converter,dc5c96a9,phi4_d0f7_mc_batch,,5.26,807,416,391,0.0,N/A,0,0,"['benchmark', 'model_converter', 'phi4:latest']",1761204908
