num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,5dba_py_sketch_generator,5dbac847,qwen2.5-coder:32b_9e98_psg_batch,success,55.87,2025,528,1497,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765385856
2,bf0c_py_sketch_generator,bf0c71ae,qwen2.5-coder:32b_9e98_psg_batch,success,24.89,931,264,667,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765385969
3,8367_py_sketch_generator,8367889a,qwen2.5-coder:32b_9e98_psg_batch,success,51.74,1927,528,1399,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765386051
4,74f5_py_sketch_generator,74f51209,qwen2.5-coder:32b_9e98_psg_batch,failure,144.25,5222,1320,3902,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765386160
5,66de_py_sketch_generator,66de7f28,qwen2.5-coder:32b_9e98_psg_batch,success,91.5,3265,792,2473,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765386331
6,eaf6_py_sketch_generator,eaf60b59,qwen2.5-coder:32b_9e98_psg_batch,success,75.89,2846,792,2054,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765386480
7,1ad9_py_sketch_generator,1ad9fe08,qwen2.5-coder:32b_9e98_psg_batch,failure,134.27,4955,1320,3635,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765386616
8,11d2_py_sketch_generator,11d26b1c,qwen2.5-coder:32b_9e98_psg_batch,success,55.0,2014,528,1486,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765386777
9,6d9f_py_sketch_generator,6d9f03f0,qwen2.5-coder:32b_9e98_psg_batch,success,76.72,2864,792,2072,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765386896
10,905e_py_sketch_generator,905e3f23,qwen2.5-coder:32b_9e98_psg_batch,success,26.51,980,264,716,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765387031
11,0a45_py_sketch_generator,0a454fab,qwen2.5-coder:32b_9e98_psg_batch,success,51.38,1918,528,1390,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765387115
12,bda5_py_sketch_generator,bda53c61,qwen2.5-coder:32b_9e98_psg_batch,failure,141.9,5159,1320,3839,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765387224
13,4315_py_sketch_generator,43156e72,qwen2.5-coder:32b_9e98_psg_batch,success,113.41,4125,1056,3069,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765387393
14,2d68_py_sketch_generator,2d68cc45,qwen2.5-coder:32b_9e98_psg_batch,failure,122.99,4650,1320,3330,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765387564
15,fffb_py_sketch_generator,fffb8b0f,qwen2.5-coder:32b_9e98_psg_batch,success,23.77,907,264,643,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765387719
16,ae15_py_sketch_generator,ae1538c5,qwen2.5-coder:32b_9e98_psg_batch,success,66.05,2312,528,1784,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765387800
17,9d71_py_sketch_generator,9d719ebb,qwen2.5-coder:32b_9e98_psg_batch,success,28.76,1040,264,776,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765387924
18,3568_py_sketch_generator,35681f1e,qwen2.5-coder:32b_9e98_psg_batch,success,50.37,1889,528,1361,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765388010
19,5042_py_sketch_generator,50422e64,qwen2.5-coder:32b_9e98_psg_batch,success,30.8,1096,264,832,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765388118
20,50bc_py_sketch_generator,50bc8bad,qwen2.5-coder:32b_9e98_psg_batch,failure,139.66,5099,1320,3779,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765388206
21,c9d6_py_sketch_generator,c9d6710b,qwen2.5-coder:32b_9e98_psg_batch,success,51.58,1923,528,1395,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765388373
22,0ca7_py_sketch_generator,0ca74f5c,qwen2.5-coder:32b_9e98_psg_batch,failure,138.74,5074,1320,3754,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765388482
23,1ef2_py_sketch_generator,1ef2bfd5,qwen2.5-coder:32b_9e98_psg_batch,success,113.88,4137,1056,3081,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765388648
24,5315_py_sketch_generator,53157e32,qwen2.5-coder:32b_9e98_psg_batch,success,77.45,2888,792,2096,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765388820
25,166f_py_sketch_generator,166faeda,qwen2.5-coder:32b_9e98_psg_batch,failure,140.51,5122,1320,3802,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765388955
26,ab69_py_sketch_generator,ab6951fa,qwen2.5-coder:32b_9e98_psg_batch,failure,141.14,5138,1320,3818,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765389123
27,c348_py_sketch_generator,c348cfe6,qwen2.5-coder:32b_9e98_psg_batch,success,137.44,5039,1320,3719,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765389291
28,d8a7_py_sketch_generator,d8a71107,qwen2.5-coder:32b_9e98_psg_batch,success,50.71,1900,528,1372,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765389487
29,ccb7_py_sketch_generator,ccb7ca2b,qwen2.5-coder:32b_9e98_psg_batch,success,131.37,4876,1320,3556,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765389595
30,468a_py_sketch_generator,468a282c,qwen2.5-coder:32b_9e98_psg_batch,success,114.98,4166,1056,3110,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765389788
