num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,5cf4_sketch_generator,5cf4afa6,qwen2.5-coder:32b_9e98_sg_batch,failure,114.43,6383,3347,3036,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765389941
2,c28e_sketch_generator,c28ef436,qwen2.5-coder:32b_9e98_sg_batch,failure,132.18,6901,3387,3514,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765390095
3,5b9c_sketch_generator,5b9cded5,qwen2.5-coder:32b_9e98_sg_batch,failure,174.78,10911,6382,4529,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765390383
4,6987_sketch_generator,69872003,qwen2.5-coder:32b_9e98_sg_batch,failure,128.07,6644,3237,3407,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765390712
5,c9a6_sketch_generator,c9a66816,qwen2.5-coder:32b_9e98_sg_batch,failure,143.81,7120,3292,3828,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765390958
6,1cff_sketch_generator,1cff1fea,qwen2.5-coder:32b_9e98_sg_batch,failure,126.43,6624,3262,3362,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765391256
7,51b4_sketch_generator,51b46014,qwen2.5-coder:32b_9e98_sg_batch,failure,136.19,6891,3267,3624,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765391511
8,f05e_sketch_generator,f05e10cf,qwen2.5-coder:32b_9e98_sg_batch,failure,142.97,7130,3327,3803,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765391788
9,eda4_sketch_generator,eda40137,qwen2.5-coder:32b_9e98_sg_batch,failure,132.19,6779,3262,3517,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765392082
10,cd3c_sketch_generator,cd3cc53c,qwen2.5-coder:32b_9e98_sg_batch,failure,125.14,6606,3277,3329,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765392358
11,9027_sketch_generator,9027caf8,qwen2.5-coder:32b_9e98_sg_batch,failure,131.41,6698,3202,3496,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765392511
12,6164_sketch_generator,61649e2e,qwen2.5-coder:32b_9e98_sg_batch,failure,152.58,10049,6082,3967,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765392670
13,140d_sketch_generator,140d2f25,qwen2.5-coder:32b_9e98_sg_batch,failure,134.42,6953,3377,3576,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765392977
14,3598_sketch_generator,35988635,qwen2.5-coder:32b_9e98_sg_batch,failure,180.12,11276,6617,4659,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765393264
15,a472_sketch_generator,a47269e8,qwen2.5-coder:32b_9e98_sg_batch,failure,156.7,10512,6462,4050,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765393576
16,1258_sketch_generator,1258d2a0,qwen2.5-coder:32b_9e98_sg_batch,failure,136.81,7050,3412,3638,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765393763
17,8d62_sketch_generator,8d620cfc,qwen2.5-coder:32b_9e98_sg_batch,failure,136.91,7015,3372,3643,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765393927
18,433a_sketch_generator,433a78ab,qwen2.5-coder:32b_9e98_sg_batch,failure,179.26,11357,6722,4635,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765394210
19,83d5_sketch_generator,83d57277,qwen2.5-coder:32b_9e98_sg_batch,failure,130.53,6756,3287,3469,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765394463
20,7b2b_sketch_generator,7b2b0948,qwen2.5-coder:32b_9e98_sg_batch,failure,133.75,6996,3442,3554,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765394721
21,ff10_sketch_generator,ff103cb3,qwen2.5-coder:32b_9e98_sg_batch,failure,121.24,6491,3267,3224,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765394983
22,effe_sketch_generator,effe474f,qwen2.5-coder:32b_9e98_sg_batch,failure,138.8,7166,3482,3684,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765395136
23,66f7_sketch_generator,66f76bc2,qwen2.5-coder:32b_9e98_sg_batch,failure,144.29,7069,3227,3842,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765395303
24,afca_sketch_generator,afcafc04,qwen2.5-coder:32b_9e98_sg_batch,failure,127.94,6784,3382,3402,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765395475
25,f871_sketch_generator,f8713881,qwen2.5-coder:32b_9e98_sg_batch,failure,140.66,7105,3367,3738,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765395757
26,663f_sketch_generator,663f13cb,qwen2.5-coder:32b_9e98_sg_batch,failure,130.26,6724,3257,3467,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765395926
27,af24_sketch_generator,af247e1c,qwen2.5-coder:32b_9e98_sg_batch,failure,140.23,7053,3322,3731,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765396183
28,739b_sketch_generator,739be9d3,qwen2.5-coder:32b_9e98_sg_batch,failure,179.96,11260,6662,4598,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765396475
29,226f_sketch_generator,226f886b,qwen2.5-coder:32b_9e98_sg_batch,failure,133.13,6744,3207,3537,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765396682
30,4de8_sketch_generator,4de88e1e,qwen2.5-coder:32b_9e98_sg_batch,failure,144.81,7400,3557,3843,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765396968
