num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,e1cd_py_sketch_generator,e1cdf02a,phi4_9e98_psg_batch,failure,82.22,5745,1225,4520,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400055
2,38fe_py_sketch_generator,38fe5dcf,phi4_9e98_psg_batch,failure,85.3,5924,1225,4699,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400175
3,342c_py_sketch_generator,342c7cd1,phi4_9e98_psg_batch,success,37.62,2559,490,2069,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400293
4,c002_py_sketch_generator,c0020904,phi4_9e98_psg_batch,success,14.94,1066,245,821,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400391
5,c9f5_py_sketch_generator,c9f55bbd,phi4_9e98_psg_batch,success,49.57,3464,735,2729,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400463
6,b5f0_py_sketch_generator,b5f0b2ec,phi4_9e98_psg_batch,success,14.93,1065,245,820,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400579
7,d655_py_sketch_generator,d655781d,phi4_9e98_psg_batch,success,33.19,2316,490,1826,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400651
8,9c88_py_sketch_generator,9c887978,phi4_9e98_psg_batch,failure,87.91,6067,1225,4842,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400747
9,73a2_py_sketch_generator,73a286de,phi4_9e98_psg_batch,success,32.62,2284,490,1794,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400871
10,a1c2_py_sketch_generator,a1c22ac3,phi4_9e98_psg_batch,failure,74.22,5322,1225,4097,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765400964
11,602d_py_sketch_generator,602dec17,phi4_9e98_psg_batch,failure,82.27,5763,1225,4538,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401071
12,c251_py_sketch_generator,c2511ebf,phi4_9e98_psg_batch,failure,75.21,5376,1225,4151,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401188
13,0e58_py_sketch_generator,0e58a737,phi4_9e98_psg_batch,success,15.81,1114,245,869,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401299
14,2448_py_sketch_generator,2448f5e4,phi4_9e98_psg_batch,failure,81.34,5711,1225,4486,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401372
15,2cb2_py_sketch_generator,2cb2b227,phi4_9e98_psg_batch,failure,76.87,5468,1225,4243,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401486
16,d84f_py_sketch_generator,d84fe193,phi4_9e98_psg_batch,success,75.5,5393,1225,4168,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401601
17,bec6_py_sketch_generator,bec62906,phi4_9e98_psg_batch,failure,70.41,5115,1225,3890,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401720
18,c969_py_sketch_generator,c969618d,phi4_9e98_psg_batch,failure,90.62,6213,1225,4988,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401824
19,afb3_py_sketch_generator,afb38402,phi4_9e98_psg_batch,success,14.58,1047,245,802,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765401950
20,104c_py_sketch_generator,104c98c7,phi4_9e98_psg_batch,success,43.53,3136,735,2401,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402022
21,97d2_py_sketch_generator,97d28964,phi4_9e98_psg_batch,success,28.36,2053,490,1563,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402126
22,a6e9_py_sketch_generator,a6e9d9a3,phi4_9e98_psg_batch,success,13.43,982,245,737,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402191
23,91c6_py_sketch_generator,91c618be,phi4_9e98_psg_batch,success,31.11,2205,490,1715,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402264
24,7dc2_py_sketch_generator,7dc278a1,phi4_9e98_psg_batch,failure,79.64,5621,1225,4396,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402329
25,d426_py_sketch_generator,d426111c,phi4_9e98_psg_batch,failure,74.0,5311,1225,4086,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402444
26,15bf_py_sketch_generator,15bf8b6c,phi4_9e98_psg_batch,success,13.37,980,245,735,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402553
27,d5d1_py_sketch_generator,d5d1e9e0,phi4_9e98_psg_batch,success,14.8,1056,245,811,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402600
28,b654_py_sketch_generator,b6547599,phi4_9e98_psg_batch,success,46.52,3289,735,2554,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402672
29,92e6_py_sketch_generator,92e6650d,phi4_9e98_psg_batch,failure,76.58,5452,1225,4227,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402755
30,eb6f_py_sketch_generator,eb6ff404,phi4_9e98_psg_batch,failure,72.31,5218,1225,3993,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765402871
