num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,1c22_sketch_generator,1c22fbb6,phi4_9e98_sg_batch,failure,75.76,9311,5290,4021,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765402961
2,2dca_sketch_generator,2dcae8ff,phi4_9e98_sg_batch,failure,75.86,9268,5245,4023,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765403132
3,ca25_sketch_generator,ca25fb53,phi4_9e98_sg_batch,failure,70.73,8884,5125,3759,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765403325
4,7e01_sketch_generator,7e015f96,phi4_9e98_sg_batch,failure,66.59,6379,2765,3614,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765403467
5,8c50_sketch_generator,8c50880d,phi4_9e98_sg_batch,failure,85.01,9892,5390,4502,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765403581
6,5761_sketch_generator,5761996e,phi4_9e98_sg_batch,failure,72.73,9178,5320,3858,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765403694
7,7e52_sketch_generator,7e524fd9,phi4_9e98_sg_batch,failure,71.47,9002,5205,3797,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765403795
8,3c52_sketch_generator,3c5221e6,phi4_9e98_sg_batch,failure,73.51,7349,3380,3969,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765403894
9,929d_sketch_generator,929d0298,phi4_9e98_sg_batch,failure,70.84,6897,3045,3852,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765403997
10,16e8_sketch_generator,16e80044,phi4_9e98_sg_batch,failure,76.12,9214,5170,4044,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765404096
11,f440_sketch_generator,f4400335,phi4_9e98_sg_batch,failure,62.89,6644,3240,3404,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765404200
12,62f6_sketch_generator,62f6c5be,phi4_9e98_sg_batch,failure,75.88,9586,5565,4021,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765404291
13,a569_sketch_generator,a5691eed,phi4_9e98_sg_batch,failure,71.56,6884,2995,3889,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765404395
14,d4b3_sketch_generator,d4b3d7c3,phi4_9e98_sg_batch,failure,81.22,9849,5545,4304,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765404495
15,6647_sketch_generator,6647169d,phi4_9e98_sg_batch,failure,77.87,9588,5460,4128,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765404604
16,1370_sketch_generator,13702d9e,phi4_9e98_sg_batch,failure,71.21,9036,5265,3771,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765404823
17,dd20_sketch_generator,dd2052ba,phi4_9e98_sg_batch,failure,85.14,9834,5315,4519,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765404992
18,2ba7_sketch_generator,2ba7a2bc,phi4_9e98_sg_batch,failure,56.11,6252,3210,3042,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765405218
19,0ed5_sketch_generator,0ed598c1,phi4_9e98_sg_batch,failure,79.14,9432,5230,4202,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765405413
20,5be8_sketch_generator,5be8a90b,phi4_9e98_sg_batch,failure,81.2,7385,2975,4410,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765405520
21,4c33_sketch_generator,4c33f202,phi4_9e98_sg_batch,failure,75.24,9259,5275,3984,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765405743
22,54d0_sketch_generator,54d06d61,phi4_9e98_sg_batch,failure,74.27,9361,5425,3936,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765405948
23,007b_sketch_generator,007be236,phi4_9e98_sg_batch,failure,76.38,9296,5240,4056,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765406075
