num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,1b12_tpu_sketch_generator,1b120398,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397122
2,95e2_tpu_sketch_generator,95e27817,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397153
3,7a7d_tpu_sketch_generator,7a7d5b84,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397179
4,887c_tpu_sketch_generator,887c7d50,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397206
5,1dcd_tpu_sketch_generator,1dcdad5b,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397232
6,5fd8_tpu_sketch_generator,5fd8dfd2,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397258
7,9698_tpu_sketch_generator,969884de,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397284
8,fe6b_tpu_sketch_generator,fe6bc145,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397310
9,dfb5_tpu_sketch_generator,dfb59888,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397336
10,78d8_tpu_sketch_generator,78d88875,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397362
11,e23c_tpu_sketch_generator,e23c5a83,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397389
12,01e1_tpu_sketch_generator,01e1853b,phi4_9e98_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397415
13,be5a_tpu_sketch_generator,be5aa2df,phi4_9e98_tpusg_batch,success,161.18,4634,1092,3542,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397441
14,3366_tpu_sketch_generator,33661b32,phi4_9e98_tpusg_batch,failure,81.87,5874,1365,4509,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397703
15,2dc2_tpu_sketch_generator,2dc2cdca,phi4_9e98_tpusg_batch,failure,76.14,5562,1365,4197,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397851
16,6270_tpu_sketch_generator,62701bd0,phi4_9e98_tpusg_batch,failure,75.43,5513,1365,4148,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765397989
17,d969_tpu_sketch_generator,d969d458,phi4_9e98_tpusg_batch,failure,96.25,6651,1365,5286,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765398130
18,a688_tpu_sketch_generator,a68806c6,phi4_9e98_tpusg_batch,failure,78.65,5692,1365,4327,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765398292
19,067b_tpu_sketch_generator,067bd47a,phi4_9e98_tpusg_batch,success,12.11,939,273,666,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765398436
