num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,84a7_py_sketch_generator,84a75dd5,qwen2.5-coder:32b_a8a2_psg_batch,failure,127.19,4757,1320,3437,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765415766
2,3158_py_sketch_generator,3158cbe6,qwen2.5-coder:32b_a8a2_psg_batch,success,50.7,1903,528,1375,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765415919
3,5a43_py_sketch_generator,5a438f5b,qwen2.5-coder:32b_a8a2_psg_batch,success,147.37,5315,1320,3995,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765416027
4,d69c_py_sketch_generator,d69c7dd5,qwen2.5-coder:32b_a8a2_psg_batch,success,147.05,5305,1320,3985,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765416232
5,66d2_py_sketch_generator,66d27e95,qwen2.5-coder:32b_a8a2_psg_batch,success,80.04,2962,792,2170,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765416437
6,bf75_py_sketch_generator,bf753c6e,qwen2.5-coder:32b_a8a2_psg_batch,success,155.21,5521,1320,4201,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765416575
7,a55d_py_sketch_generator,a55d48d3,qwen2.5-coder:32b_a8a2_psg_batch,success,82.96,3040,792,2248,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765416794
8,df64_py_sketch_generator,df64f3d7,qwen2.5-coder:32b_a8a2_psg_batch,success,140.42,5127,1320,3807,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765416934
9,17cc_py_sketch_generator,17cc616c,qwen2.5-coder:32b_a8a2_psg_batch,failure,142.09,5170,1320,3850,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765417132
10,6209_py_sketch_generator,6209d13c,qwen2.5-coder:32b_a8a2_psg_batch,success,26.35,977,264,713,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765417301
11,eeb0_py_sketch_generator,eeb07204,qwen2.5-coder:32b_a8a2_psg_batch,success,140.75,5135,1320,3815,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765417387
12,d72c_py_sketch_generator,d72c87be,qwen2.5-coder:32b_a8a2_psg_batch,success,54.13,1993,528,1465,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765417590
13,ab73_py_sketch_generator,ab7387d6,qwen2.5-coder:32b_a8a2_psg_batch,success,76.75,2873,792,2081,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765417701
14,a95b_py_sketch_generator,a95b304a,qwen2.5-coder:32b_a8a2_psg_batch,success,144.68,5240,1320,3920,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765417834
15,f1a6_py_sketch_generator,f1a6affe,qwen2.5-coder:32b_a8a2_psg_batch,success,26.51,980,264,716,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418043
16,712e_py_sketch_generator,712eedef,qwen2.5-coder:32b_a8a2_psg_batch,success,26.17,972,264,708,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418130
17,6b7a_py_sketch_generator,6b7ac73b,qwen2.5-coder:32b_a8a2_psg_batch,success,33.27,1163,264,899,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418214
18,1e42_py_sketch_generator,1e427b5a,qwen2.5-coder:32b_a8a2_psg_batch,success,26.48,980,264,716,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418303
19,a7d3_py_sketch_generator,a7d30e42,qwen2.5-coder:32b_a8a2_psg_batch,success,55.58,2033,528,1505,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418387
20,82f9_py_sketch_generator,82f989e3,qwen2.5-coder:32b_a8a2_psg_batch,success,71.72,2737,792,1945,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418499
21,c530_py_sketch_generator,c5301cc5,qwen2.5-coder:32b_a8a2_psg_batch,success,113.03,4120,1056,3064,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418629
22,bd16_py_sketch_generator,bd16e9d8,qwen2.5-coder:32b_a8a2_psg_batch,success,28.32,1030,264,766,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418800
23,ff07_py_sketch_generator,ff07955d,qwen2.5-coder:32b_a8a2_psg_batch,success,137.26,5042,1320,3722,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1765418862
