num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,d21c_sketch_generator,d21c0adf,qwen2.5-coder:32b_a8a2_sg_batch,failure,117.82,6319,3182,3137,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765420142
2,a1b4_sketch_generator,a1b42651,qwen2.5-coder:32b_a8a2_sg_batch,failure,155.82,10124,6067,4057,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765420401
3,447f_sketch_generator,447ff27b,qwen2.5-coder:32b_a8a2_sg_batch,failure,175.96,11039,6482,4557,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765420708
4,689f_sketch_generator,689f3a1e,qwen2.5-coder:32b_a8a2_sg_batch,failure,174.59,11423,6912,4511,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765421005
5,2adf_sketch_generator,2adfed27,qwen2.5-coder:32b_a8a2_sg_batch,failure,134.18,7048,3477,3571,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765421319
6,ae1e_sketch_generator,ae1ec845,qwen2.5-coder:32b_a8a2_sg_batch,failure,122.31,6725,3472,3253,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765421549
7,77aa_sketch_generator,77aa3f2b,qwen2.5-coder:32b_a8a2_sg_batch,failure,134.1,6847,3272,3575,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765421722
8,e1b5_sketch_generator,e1b55b02,qwen2.5-coder:32b_a8a2_sg_batch,failure,192.6,11349,6402,4947,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765421958
9,4d5d_sketch_generator,4d5d911a,qwen2.5-coder:32b_a8a2_sg_batch,failure,164.69,10826,6562,4264,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765422179
10,923d_sketch_generator,923de5d6,qwen2.5-coder:32b_a8a2_sg_batch,failure,139.68,7025,3302,3723,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1765422372
