num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,fa27_tpu_sketch_generator,fa27dfb0,qwen2.5-coder:32b_a8a2_tpusg_batch,success,49.27,1937,622,1315,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765410566
2,ff70_tpu_sketch_generator,ff70460e,qwen2.5-coder:32b_a8a2_tpusg_batch,success,27.9,1064,311,753,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765410706
3,0687_tpu_sketch_generator,06874eba,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,174.26,6250,1555,4695,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765410816
4,cca4_tpu_sketch_generator,cca4be2d,qwen2.5-coder:32b_a8a2_tpusg_batch,success,52.43,2041,622,1419,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765411058
5,4b26_tpu_sketch_generator,4b2654a3,qwen2.5-coder:32b_a8a2_tpusg_batch,success,98.22,3905,1244,2661,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765411201
6,7928_tpu_sketch_generator,7928941f,qwen2.5-coder:32b_a8a2_tpusg_batch,success,128.77,5043,1555,3488,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765411405
7,2afb_tpu_sketch_generator,2afb690c,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,148.36,5563,1555,4008,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765411649
8,b526_tpu_sketch_generator,b5265b33,qwen2.5-coder:32b_a8a2_tpusg_batch,success,57.84,2063,622,1441,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765411865
9,6b60_tpu_sketch_generator,6b60a3ea,qwen2.5-coder:32b_a8a2_tpusg_batch,success,53.31,2064,622,1442,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765412012
10,32fd_tpu_sketch_generator,32fd1eba,qwen2.5-coder:32b_a8a2_tpusg_batch,success,56.02,2135,622,1513,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765412155
11,5bfb_tpu_sketch_generator,5bfb0f01,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,135.74,5228,1555,3673,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765412297
12,d389_tpu_sketch_generator,d3899014,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,137.25,5273,1555,3718,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765412500
13,bfca_tpu_sketch_generator,bfca5f7b,qwen2.5-coder:32b_a8a2_tpusg_batch,success,48.25,1928,622,1306,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765412704
14,a4ed_tpu_sketch_generator,a4ed7900,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,129.71,5068,1555,3513,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765412842
15,8cc0_tpu_sketch_generator,8cc080d6,qwen2.5-coder:32b_a8a2_tpusg_batch,success,98.86,3923,1244,2679,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765413039
16,6137_tpu_sketch_generator,613745c0,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,112.02,4592,1555,3037,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765413245
17,9301_tpu_sketch_generator,930130e9,qwen2.5-coder:32b_a8a2_tpusg_batch,success,21.76,900,311,589,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765413424
18,5f9c_tpu_sketch_generator,5f9c5fbd,qwen2.5-coder:32b_a8a2_tpusg_batch,success,52.3,2037,622,1415,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765413527
19,9f1c_tpu_sketch_generator,9f1c8442,qwen2.5-coder:32b_a8a2_tpusg_batch,success,29.34,975,311,664,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765413665
20,4d20_tpu_sketch_generator,4d208cb6,qwen2.5-coder:32b_a8a2_tpusg_batch,success,104.1,4012,1244,2768,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765413828
21,76b4_tpu_sketch_generator,76b4c874,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,132.08,5132,1555,3577,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765414038
22,f536_tpu_sketch_generator,f5364ed4,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,128.32,5032,1555,3477,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765414238
23,ded7_tpu_sketch_generator,ded7490c,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,130.28,5083,1555,3528,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765414433
24,aef7_tpu_sketch_generator,aef76af2,qwen2.5-coder:32b_a8a2_tpusg_batch,success,100.55,3967,1244,2723,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765414629
25,99cb_tpu_sketch_generator,99cbcfb7,qwen2.5-coder:32b_a8a2_tpusg_batch,success,72.95,2909,933,1976,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765414837
26,01dc_tpu_sketch_generator,01dc9278,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,126.0,4963,1555,3408,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765415005
27,2d07_tpu_sketch_generator,2d07a956,qwen2.5-coder:32b_a8a2_tpusg_batch,success,23.87,956,311,645,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765415197
28,1cb4_tpu_sketch_generator,1cb44fb0,qwen2.5-coder:32b_a8a2_tpusg_batch,success,31.05,1149,311,838,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765415300
29,7581_tpu_sketch_generator,75810ee0,qwen2.5-coder:32b_a8a2_tpusg_batch,failure,136.27,5244,1555,3689,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765415409
30,4e0c_tpu_sketch_generator,4e0cde11,qwen2.5-coder:32b_a8a2_tpusg_batch,success,74.12,2940,933,2007,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1765415613
