num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,d23d_py_sketch_generator,d23d32c1,phi4_a8a2_psg_batch,success,12.57,921,245,676,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765431226
2,bf95_py_sketch_generator,bf958909,phi4_a8a2_psg_batch,success,28.68,2063,490,1573,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765431273
3,c0eb_py_sketch_generator,c0ebf0d6,phi4_a8a2_psg_batch,failure,75.01,5347,1225,4122,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765431374
4,16b3_py_sketch_generator,16b3a5ea,phi4_a8a2_psg_batch,failure,81.98,5723,1225,4498,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765431491
5,cbdf_py_sketch_generator,cbdff797,phi4_a8a2_psg_batch,failure,73.53,5268,1225,4043,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765431613
6,034e_py_sketch_generator,034efb08,phi4_a8a2_psg_batch,success,59.63,4257,980,3277,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765431724
7,3def_py_sketch_generator,3defce52,phi4_a8a2_psg_batch,success,61.86,4377,980,3397,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765431849
8,df02_py_sketch_generator,df02c19b,phi4_a8a2_psg_batch,failure,76.22,5414,1225,4189,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765431974
9,7ec2_py_sketch_generator,7ec2d68e,phi4_a8a2_psg_batch,failure,78.48,5536,1225,4311,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765432084
10,93dd_py_sketch_generator,93dd20ef,phi4_a8a2_psg_batch,failure,70.62,5110,1225,3885,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765432206
11,6057_py_sketch_generator,6057e666,phi4_a8a2_psg_batch,failure,77.86,5504,1225,4279,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765432313
12,55f3_py_sketch_generator,55f3a15b,phi4_a8a2_psg_batch,success,82.24,5740,1225,4515,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765432424
13,0e02_py_sketch_generator,0e02a3b7,phi4_a8a2_psg_batch,failure,87.61,6028,1225,4803,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765432541
14,20d5_py_sketch_generator,20d50369,phi4_a8a2_psg_batch,success,13.02,951,245,706,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765432673
15,1e24_py_sketch_generator,1e24202c,phi4_a8a2_psg_batch,success,77.8,5499,1225,4274,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765432743
16,0420_py_sketch_generator,042086fa,phi4_a8a2_psg_batch,success,55.38,3771,735,3036,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765432885
17,7cf5_py_sketch_generator,7cf5549f,phi4_a8a2_psg_batch,failure,81.3,5691,1225,4466,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433004
18,e3c7_py_sketch_generator,e3c73f43,phi4_a8a2_psg_batch,success,29.57,2115,490,1625,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433120
19,936b_py_sketch_generator,936b7d7f,phi4_a8a2_psg_batch,success,47.16,3324,735,2589,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433210
20,c647_py_sketch_generator,c6475f38,phi4_a8a2_psg_batch,success,14.47,1034,245,789,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433318
21,ff5c_py_sketch_generator,ff5cb5e7,phi4_a8a2_psg_batch,success,58.5,4195,980,3215,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433366
22,4857_py_sketch_generator,485729a1,phi4_a8a2_psg_batch,success,56.02,4060,980,3080,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433485
23,aba7_py_sketch_generator,aba7e146,phi4_a8a2_psg_batch,failure,76.64,5429,1225,4204,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433598
24,0950_py_sketch_generator,0950b00a,phi4_a8a2_psg_batch,success,17.24,1190,245,945,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433710
25,1fed_py_sketch_generator,1fedc910,phi4_a8a2_psg_batch,failure,74.44,5316,1225,4091,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433792
26,ce35_py_sketch_generator,ce357043,phi4_a8a2_psg_batch,success,57.49,4141,980,3161,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765433899
27,5da7_py_sketch_generator,5da73b99,phi4_a8a2_psg_batch,success,14.71,1051,245,806,0.0,N/A,1,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765434020
28,523d_py_sketch_generator,523d360f,phi4_a8a2_psg_batch,failure,73.52,5268,1225,4043,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765434070
29,1dac_py_sketch_generator,1dace6ca,phi4_a8a2_psg_batch,failure,79.33,5583,1225,4358,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765434179
30,5fac_py_sketch_generator,5facdb24,phi4_a8a2_psg_batch,success,52.93,3639,735,2904,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1765434300
