num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,21db_sketch_generator,21db33f9,phi4_a8a2_sg_batch,failure,90.0,10187,5435,4752,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765434370
2,14ed_sketch_generator,14ede3d3,phi4_a8a2_sg_batch,failure,77.29,9515,5435,4080,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765434555
3,9cd6_sketch_generator,9cd675b8,phi4_a8a2_sg_batch,failure,80.15,7400,3060,4340,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765434749
4,6572_sketch_generator,6572ed67,phi4_a8a2_sg_batch,failure,74.78,9195,5240,3955,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765434946
5,f1da_sketch_generator,f1daf35b,phi4_a8a2_sg_batch,failure,72.36,9147,5330,3817,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765435070
6,1528_sketch_generator,152842d0,phi4_a8a2_sg_batch,failure,77.08,7306,3135,4171,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765435283
7,106c_sketch_generator,106cc91d,phi4_a8a2_sg_batch,failure,75.43,9136,5145,3991,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765435388
8,27f7_sketch_generator,27f7542d,phi4_a8a2_sg_batch,failure,75.09,7046,2985,4061,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765435512
9,ae63_sketch_generator,ae637a08,phi4_a8a2_sg_batch,failure,87.58,9885,5255,4630,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765435665
10,6bd5_sketch_generator,6bd55453,phi4_a8a2_sg_batch,failure,81.42,9655,5360,4295,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765435781
11,c084_sketch_generator,c0845127,phi4_a8a2_sg_batch,failure,76.43,7323,3190,4133,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765436008
12,ac26_sketch_generator,ac2680b9,phi4_a8a2_sg_batch,failure,59.52,6293,3075,3218,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765436235
13,404e_sketch_generator,404e1c24,phi4_a8a2_sg_batch,failure,73.44,9200,5320,3880,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765436343
14,68bd_sketch_generator,68bdba20,phi4_a8a2_sg_batch,failure,71.46,8947,5165,3782,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765436535
15,0e6c_sketch_generator,0e6c60a8,phi4_a8a2_sg_batch,failure,72.94,8960,5095,3865,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765436657
16,625a_sketch_generator,625a5454,phi4_a8a2_sg_batch,failure,63.98,6417,2955,3462,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765436758
17,9704_sketch_generator,970473a1,phi4_a8a2_sg_batch,failure,76.8,9145,5075,4070,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765436850
18,6ba3_sketch_generator,6ba31d31,phi4_a8a2_sg_batch,failure,84.23,9710,5255,4455,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765436955
19,4bfc_sketch_generator,4bfc4a35,phi4_a8a2_sg_batch,failure,65.71,6402,2860,3542,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765437090
20,52fe_sketch_generator,52fee21b,phi4_a8a2_sg_batch,failure,62.26,6512,3145,3367,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765437280
21,9d30_sketch_generator,9d30d322,phi4_a8a2_sg_batch,failure,73.71,7172,3185,3987,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765437371
22,823e_sketch_generator,823ee83e,phi4_a8a2_sg_batch,failure,74.66,9168,5220,3948,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765437473
23,e41a_sketch_generator,e41aa09e,phi4_a8a2_sg_batch,failure,71.7,8983,5190,3793,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765437595
24,d023_sketch_generator,d0233d60,phi4_a8a2_sg_batch,failure,68.58,6528,2830,3698,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765437780
25,95fa_sketch_generator,95faf90d,phi4_a8a2_sg_batch,failure,74.52,7999,4015,3984,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765437896
26,2d5c_sketch_generator,2d5ca0da,phi4_a8a2_sg_batch,failure,85.78,9665,5125,4540,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765438000
27,8366_sketch_generator,8366d9a5,phi4_a8a2_sg_batch,failure,64.47,6413,2925,3488,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765438114
28,f089_sketch_generator,f089eba2,phi4_a8a2_sg_batch,failure,76.98,7532,3380,4152,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765438207
29,3ce8_sketch_generator,3ce85a1a,phi4_a8a2_sg_batch,failure,62.04,6370,3015,3355,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765438338
30,6254_sketch_generator,6254f78b,phi4_a8a2_sg_batch,failure,70.22,6814,3015,3799,0.0,N/A,6,0,0,"['ablation', 'benchmark', 'phi4:latest', 'sketch_generator']",1765438428
