num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,1c24_tpu_sketch_generator,1c2488d8,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428005
2,4106_tpu_sketch_generator,41068ab0,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428033
3,aef9_tpu_sketch_generator,aef94961,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428059
4,3dc6_tpu_sketch_generator,3dc6e438,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428086
5,0d04_tpu_sketch_generator,0d046272,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428112
6,9a17_tpu_sketch_generator,9a17c0eb,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428138
7,7a51_tpu_sketch_generator,7a51a196,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428165
8,fd48_tpu_sketch_generator,fd48609d,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428192
9,40c0_tpu_sketch_generator,40c058e8,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428218
10,9cae_tpu_sketch_generator,9cae3bed,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428245
11,c813_tpu_sketch_generator,c8135084,phi4_a8a2_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428271
12,d01e_tpu_sketch_generator,d01e27d1,phi4_a8a2_tpusg_batch,success,135.43,3185,873,2312,0.0,N/A,3,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428298
13,b489_tpu_sketch_generator,b489de44,phi4_a8a2_tpusg_batch,failure,81.39,5908,1455,4453,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428527
14,a851_tpu_sketch_generator,a8511294,phi4_a8a2_tpusg_batch,success,68.08,4889,1164,3725,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428674
15,bdbb_tpu_sketch_generator,bdbb9fea,phi4_a8a2_tpusg_batch,failure,74.0,5514,1455,4059,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428844
16,f721_tpu_sketch_generator,f721c6f5,phi4_a8a2_tpusg_batch,success,63.98,4671,1164,3507,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765428984
17,a5eb_tpu_sketch_generator,a5eb54fd,phi4_a8a2_tpusg_batch,failure,78.43,5754,1455,4299,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765429150
18,bba4_tpu_sketch_generator,bba48971,phi4_a8a2_tpusg_batch,failure,87.57,6248,1455,4793,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765429297
19,dbbc_tpu_sketch_generator,dbbc3a80,phi4_a8a2_tpusg_batch,success,64.71,4708,1164,3544,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765429450
20,851d_tpu_sketch_generator,851d2c7f,phi4_a8a2_tpusg_batch,failure,73.52,5486,1455,4031,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765429617
21,c6ff_tpu_sketch_generator,c6ffe159,phi4_a8a2_tpusg_batch,failure,88.49,6296,1455,4841,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765429755
22,0bdd_tpu_sketch_generator,0bdd4865,phi4_a8a2_tpusg_batch,success,32.6,2367,582,1785,0.0,N/A,2,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765429911
23,dfe0_tpu_sketch_generator,dfe0f2c5,phi4_a8a2_tpusg_batch,success,65.72,4766,1164,3602,0.0,N/A,4,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765430030
24,8012_tpu_sketch_generator,80128fdc,phi4_a8a2_tpusg_batch,failure,80.82,5885,1455,4430,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765430198
25,c24a_tpu_sketch_generator,c24aef25,phi4_a8a2_tpusg_batch,failure,83.27,6019,1455,4564,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765430345
26,55e1_tpu_sketch_generator,55e15597,phi4_a8a2_tpusg_batch,failure,79.02,5779,1455,4324,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765430495
27,d172_tpu_sketch_generator,d172633c,phi4_a8a2_tpusg_batch,failure,73.69,5499,1455,4044,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765430639
28,74ca_tpu_sketch_generator,74ca4e3d,phi4_a8a2_tpusg_batch,failure,86.54,6193,1455,4738,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765430778
29,d109_tpu_sketch_generator,d1094318,phi4_a8a2_tpusg_batch,failure,87.75,6257,1455,4802,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765430932
30,9643_tpu_sketch_generator,96430a12,phi4_a8a2_tpusg_batch,failure,98.23,6810,1455,5355,0.0,N/A,5,0,0,"['ablation', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1765431081
